title,jobId,currency,footerPlaceholderLabel,footerPlaceholderColor,companyName,isSaved,tagsAndSkills,experience,salary,location,companyId,jdURL,staticUrl,jobDescription,showMultipleApply,groupId,isTopGroup,createdDate,mode,board
Software Engineer-M.Sc. Computer Science/ Maths (Only females),050624910572,INR,28 Days Ago,grey,Rapid Care,False,"Software Development,Mathematics,Training,Coding,Software Engineering,Computer Science,Problem Solving,Computer",0 Yrs,2.5-3.5 Lacs PA,Chennai,1068582,/job-listings-software-engineer-m-sc-computer-science-maths-only-females-rapid-care-transcription-private-limited-chennai-0-to-0-years-050624910572,rapid-care-jobs-careers-1068582,"<p> Dear Candidates, <br />Greetings from Rapid care Pvt Ltd,<br />We are Looking for Complete Fresher <strong>M.sc Mathematics </strong>Passed out Candidates<br /><strong>*Please Note We Require Only Female Candidates*</strong><br />Eligibility and Qualification<br />EXPERIENCE - FresherQUALIFICATION - M.sc MathematicsGENDER - Only FemaleAGE - Below 24YEARS OF PASSED OUT - Looking for 2023 Passed out Students ( ONLY M.SC Mathematics )<br /> <strong>JOB DESCRIPTION</strong><br /><strong>For M.Sc Mathematics :</strong><br />Should be interested in programming but need not have prior experienceMust have strong background / clarity in the following areas </p><ul><li>Linear Algebra & Matrices</li><li>Calculus</li><li>Statistics</li><li>Probability</li><li>Eligibility and Qualification</li></ul><p><strong>For M.Sc. Computer Science:</strong><br /> <strong>JOB DESCRIPTION</strong> </p><ul><li>Meeting with development managers to discuss the scope of software projects.</li><li>Analyzing existing programs for modification purposes.</li><li>Researching and designing new software systems, websites, programs, and applications.</li><li>Writing and implementing, clean, scalable code.</li><li>Troubleshooting and debugging code.</li><li>Verifying and deploying software systems.</li><li>Evaluating user feedback.</li></ul><p><strong>Developer Requirements</strong></p><ul><li>Bachelors degree in computer science.</li><li>Advanced knowledge of programming languages including JavaScript, HTML5, Java, C++, and PHP.</li><li>Knowledge of software systems and frameworks including AnglularJS, Git, GitHub, and .NET.</li><li>Experience with object-Relational Mapping (ORM) frameworks.</li><li>Familiarity with Agile development technologies.</li><li>Ability to learn new languages and technologies quickly.</li><li>Good communication skills.</li><li>Ability to work as part of a team or individually on a project.</li><li>Ability to work well under pressure</li></ul><p><strong>The candidate who apply for this should should have graduated either in the year 2022 or 2023.</strong><br />We are Looking for Immediate Joiners , Interested Candidate Can come for a Direct Walk-in from 20th September, 2023 till 30th September, 2023.or can reach out to us through the number given below<br />HR Nanditha : 7305704505<br /> </p><br /><br />",False,4621485,0,1717587546190,jp,1
"HCLTech|| Software Engineer|| SAP MM ,SD || Walkin Drive",170524012663,INR,2 Days Ago,grey,HCLTech,False,"SAP SD,SAP MM,SAP FICO,Saps,Software,SAP,MM,Software engineering",,Not disclosed,"Chennai, Noida, Hyderabad",4190986,/job-listings-hcltech-software-engineer-sap-mm-sd-walkin-drive-hcltech-noida-hyderabad-chennai-0-to-2-years-170524012663,hcltech-jobs-careers-460,"6 to 24 months of experience in the relevant domain (No internship experience would be counted) (Fresher can also apply for SAP MM and SD role but should be globally certified) <br><br>Should have the strong knowledge to work on the WRICEF and comfortable to work on the custom developments<br><br>Candidate must have a Global certification in SAP MM,SAP SD",False,194354,0,1719903242494,jp,1
"Software Engineer, developer / Programmer, 2024 graduate Can also appl",070624005062,INR,27 Days Ago,grey,Creative Hands HR,False,"testing,Software,Test Engineering,python,be,btech,Manual Testing,java",0-5 Yrs,1.5-5 Lacs PA,"Chennai, Hyderabad, Bengaluru",4426402,/job-listings-software-engineer-developer-programmer-2024-graduate-can-also-appl-creative-hands-hr-hyderabad-chennai-bengaluru-0-to-5-years-070624005062,creative-hands-hr-jobs-careers-4426402,job description . 2024 graduate can also apply . <br><br>Immediate Requirement in Software Testing with a min Package of 2 to 4 lakhs per annum<br><br>Preferred candidate profile . .,False,900242,0,1717735276730,jp,1
Associate Software Engineer,060624502952,INR,27 Days Ago,grey,Essenware,False,"Solution design,Lead generation,Software Associate,Effort estimation,Management,Project delivery,Sales management,Monitoring",0-2 Yrs,Not disclosed,"Chennai, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Bengaluru",123730931,/job-listings-associate-software-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-2-years-060624502952,essenware-jobs-careers-6042484,Contribute to Model Based Solution with new solution requirement / domain .,False,8785973,0,1717679107000,crawled,1
DC Engineer Associate,160524502220,INR,30+ Days Ago,grey,Hexaware Technologies,False,"Ticketing,Networking,ISO 20000,Analytical,Network operations,Perl,Information technology,Monitoring",0-2 Yrs,Not disclosed,"Chennai, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Bengaluru",1369460,/job-listings-dc-engineer-associate-hexaware-technologies-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-2-years-160524502220,hexaware-technologies-jobs-careers-9815," . Bachelors degree in computer science,information technology,or a related field. At least . 1 . year of experience in network operations,network engineering,or a related field. In-depth knowledge of networking technologies,protocols,and architectures<br><br>Experience with network monitoring tools such as Nagios,Zabbix,SolarWinds,or similar",False,12466,0,1715862056000,crawled,1
"Hardware engineer/ Networking Engineer / system engineer,2024 graduate",250624007574,INR,8 Days Ago,grey,Creative Hands HR,False,"Network Support,Network Engineering,Hardware Networking,Technical Support,Desktop Engineering,Network Troubleshooting,Hardware Troubleshooting,Hardware",0-4 Yrs,4-7 Lacs PA,"Chennai, Hyderabad, Bengaluru",4426402,/job-listings-hardware-engineer-networking-engineer-system-engineer-2024-graduate-creative-hands-hr-hyderabad-chennai-bengaluru-0-to-4-years-250624007574,creative-hands-hr-jobs-careers-4426402,2024 graduate can also apply . <br><br>Preferred candidate profile . .,False,900242,0,1719309145789,jp,1
Software Engineer Trainee,280624007286,INR,5 Days Ago,grey,Aegisneural Solutions Pvt.Ltd,False,"Java Full Stack,C++,RPA,Automation,C,Artificial Intelligence,Software Testing,AI & ML",0-1 Yrs,2.5-3.5 Lacs PA,"Hybrid - Chennai, Hyderabad, Bengaluru",124273268,/job-listings-software-engineer-trainee-aegisneural-solutions-pvt-ltd-hyderabad-chennai-bengaluru-0-to-1-years-280624007286,aegisneural-solutions-jobs-careers-124273268,"Job Description:
We are seeking a motivated Software Engineer Trainee to join our dynamic team. excellent opportunity for recent graduates or individuals with basic software development experience looking to build a career in software engineering.Java Full Stack, Python Full Stack, C++, C, Embedded Systems, Devops, AWS, Dot Net Full Stack, Software Testing , AI & ML, Data Science, RPA",False,10936306,0,1719567749177,jp,1
"Software Engineer, developer / Programmer, 2024 graduate Can also appl",250624007348,INR,8 Days Ago,grey,Creative Hands HR,False,"testing,Software,Software Programming,python,java,Software Engineering,linux,Mobile Testing",0-5 Yrs,2-5 Lacs PA,"Chennai, Hyderabad, Bengaluru",4426402,/job-listings-software-engineer-developer-programmer-2024-graduate-can-also-appl-creative-hands-hr-hyderabad-chennai-bengaluru-0-to-5-years-250624007348,creative-hands-hr-jobs-careers-4426402,job description . 2024 graduate can also apply . <br><br>Immediate Requirement in Software Testing with a min Package of 2 to 4 lakhs per annum<br><br>Preferred candidate profile Role & responsibilities . <br><br>Preferred candidate profile . .,False,900242,0,1719307954884,jp,1
Software Development Engineer,290624003900,INR,5 Days Ago,grey,Smridhi Enterprises,False,"Java,C++,Software Development,C,HTML,Software Development Life Cycle,CSS,Software Engineering",0-2 Yrs,4.5-5 Lacs PA,"Chennai, Hyderabad, Bengaluru",124043362,/job-listings-software-development-engineer-smridhi-enterprises-hyderabad-chennai-bengaluru-0-to-2-years-290624003900,smridhi-enterprises-jobs-careers-124043362,"Work From Home <br><br>Requirements: - Bachelor s degree in Computer Science,Engineering,or related field",False,10067488,0,1719644997748,jp,1
Immediate hiring For Hardware and Network Engineer -Freshers,210624008379,INR,12 Days Ago,grey,App Technology,False,"Hardware Networking,Outlook Configuration,Desktop Support,Technical Support,Network Troubleshooting,Network Engineering,OS Installation,Network Support",0 Yrs,Not disclosed,Chennai,6327128,/job-listings-immediate-hiring-for-hardware-and-network-engineer-freshers-app-technology-chennai-0-to-0-years-210624008379,app-technology-jobs-careers-6327128,Male candidates only<br><br>2014 to 2024 batch can apply <br><br>Hands-on experience in MS-Outlook configuration & Troubleshooting,False,5709500,0,1718968490925,jp,1
